Altium Designer Pick and Place Locations
C:\Users\jithe\OneDrive\Documents\JITHU\PCB\Altium_PCB_Projects\Golden_Arduino\Project Outputs for Golden_Arduino\Pick Place for PCB1_backup1.csv

========================================================================================================================
File Design Information:

Date:       06-03-24
Time:       15:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J4","JF_10_PIN_FEMALE_","TopLayer","10_PIN_100MIL_-_Female","2580.000","1410.000","90","10 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"Y1","X_12MHz_Res","TopLayer","Crystal_resonator","1680.000","1923.032","0","SMD Crystal Resonators 12MHz ±10ppm SMD-3225_4P RoHS"
"U1","U_ATMega328P","TopLayer","ATMega328P","1306.496","778.000","0","AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 32-TQFP (7x7)"
"TP_3.3V","TP_10x_Probe","TopLayer","TP10x_Probe","1110.000","1245.000","0","Test Point 300 mil centers"
"TP_5V","TP_10x_Probe","TopLayer","TP10x_Probe","100.000","1830.000","90","Test Point 300 mil centers"
"SW2","SW_Push_Button_JLC","TopLayer","Switch_JLC","2465.000","2510.000","180","Tactile Switch SPST-NO Top Actuated Surface Mount"
"SW1","SW_3Pin_100mil_Switch","TopLayer","3_PIN_100mil","645.000","2505.000","0","Connector Header Through Hole 3 position 0.100" (2.54mm)"
"R5","Resistor 10k +/-1% 1206 250 mW","TopLayer","RESC3216X60X45ML15T20","2205.000","2575.000","90","Chip Resistor, 10 KOhm, +/- 1%, 0.25 W, -55 to 155 degC, 1206 (3216 Metric)"
"R4","R_1K_1206","TopLayer","1206_Passive_Resitor","1225.000","1475.000","90","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R3","R_1K_1206","TopLayer","1206_Passive_Resitor","1350.000","1475.000","90","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R2","R_1K_1206","TopLayer","1206_Passive_Resitor","1095.000","1480.000","90","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R1","R_1K_1206","TopLayer","1206_Passive_Resitor","975.000","1480.000","90","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"PS1","PS_AMS_LDO_3v3","TopLayer","LDO","740.000","1314.921","180","LOW DROPOUT REGULATORS(LDO) POSITIVE FIXED 1.3V @ 800MA 15V 3.3V 1A SOT-223 ROHS"
"P1","P_Power Jack","TopLayer","Power_Jack","163.464","2256.890","90","Power Barrel Connector Jack 2.10mm ID (0.083"), 5.50mm OD (0.217") Through Hole, Right Angle"
"Tx","LED_RED_1206","TopLayer","LED_1206","1225.000","1715.000","90","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"Rx","LED_RED_1206","TopLayer","LED_1206","1350.000","1715.000","90","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"5V","LED_RED_1206","TopLayer","LED_1206","1095.000","1715.000","270","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"3.3V","LED_RED_1206","TopLayer","LED_1206","975.000","1715.000","270","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"L1","FB_10uH_1206","TopLayer","AIML-1206_ABR-M","788.505","833.698","45","25mA 10uH ±10% 800mO 1206  Inductors (SMD) ROHS"
"J2","J_USB_B_Mini","TopLayer","USB_MINI_B","1325.000","2405.000","180","Through Hole USB Connectors RoHS"
"J1","JM_2_PIN_MALE","TopLayer","2_PIN_100MIL","655.000","1750.000","270","2.54mm Straight 2 1 Header,Breakaway Through Hole,P=2.54mm Pin Header & Female Header ROHS"
"D1","D_TVS_Diode","TopLayer","TVS","1033.343","2140.169","0","TVS SOT-23-6 ROHS"
"C16","C_1uF_1206","TopLayer","1206_Passive_Capacitor","2190.000","2370.000","90","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 50V 1206 ROHS"
"C13","C_22uF_1206","TopLayer","1206_Passive_Capacitor","1850.000","1065.000","180","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C12","C_22uF_1206","TopLayer","1206_Passive_Capacitor","1845.000","870.000","180","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C11","C_22uF_1206","TopLayer","1206_Passive_Capacitor","1825.000","1710.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C10","C_22uF_1206","TopLayer","1206_Passive_Capacitor","1555.000","1705.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C9","C_22uF_1206","TopLayer","1206_Passive_Capacitor","1560.000","2325.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C7","C_22uF_1206","TopLayer","1206_Passive_Capacitor","1650.000","810.000","180","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C5","C_22uF_1206","TopLayer","1206_Passive_Capacitor","986.515","849.573","45","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C4","C_22uF_1206","TopLayer","1206_Passive_Capacitor","400.000","1735.000","180","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C3","C_22uF_1206","TopLayer","1206_Passive_Capacitor","786.983","1526.648","0","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C2","C_22uF_1206","TopLayer","1206_Passive_Capacitor","545.000","2300.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C1","C_22uF_1206","TopLayer","1206_Passive_Capacitor","745.000","2300.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
